coordinate [angstrom],total [eV],zerotemp [eV],free [eV]
0.0,0.0,0.0,0.0
0.14909614223586778,0.020333650521934032,0.02049786038696766,0.02066206932067871
0.3024289479840761,0.05766076035797596,0.057989380322396755,0.058317989110946655
0.45503005262496116,0.09129784069955349,0.09175270982086658,0.09220756962895393
0.6043380369848698,0.11291406024247408,0.11344841960817575,0.1139827799052
0.7516527408833321,0.1202892204746604,0.1208600103855133,0.12143080960959196
0.8988828311998784,0.11323588062077761,0.11380053032189608,0.11436516977846622
1.0479043001015707,0.0922549907118082,0.09276686981320381,0.09327875915914774
1.1999828400689758,0.0595428803935647,0.05994903016835451,0.06035517994314432
1.3525978769743157,0.023306029848754406,0.023561050184071064,0.023816079832613468
1.5012901459549792,0.0033555105328559875,0.003452249802649021,0.0035489993169903755
